final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,3.648274650913663e-05,9500,9500,0.681926178535508,0.898650567287141,0.14307498317998327,baseline,13
1.0,6.870221568533452e-06,6500,8000,0.7011097982463812,0.9526323888429263,0.12741532030766994,baseline,62
1.0,1.0656245649443008e-05,9000,10000,0.6727400035332538,0.9312379958563533,0.13488346455977013,baseline,73
1.0,8.899534805095755e-06,7500,9500,0.6979315090744568,0.9332765523780973,0.13505621067752846,baseline,8
1.0,7.046729479043279e-06,7000,8000,0.7014167025963854,0.9646796272671876,0.1212714682510819,baseline,46
1.0,6.2368717408389784e-06,8000,9000,0.7081045254543151,0.9571646377569744,0.12230396725097281,baseline,30
1.0,8.512924978276715e-06,8000,9000,0.6956971978929564,0.9408069254261338,0.13168538840600794,baseline,44
1.0,7.429115612467285e-06,6500,8500,0.6997401401216934,0.9605741900628104,0.12365354629595954,baseline,22
1.0,7.581304089399055e-06,9000,10000,0.703711335533502,0.931303792865915,0.13408167254609593,baseline,86
1.0,3.52311872120481e-05,9500,9500,0.6728422270956209,0.8304333395633288,0.1488597051496527,baseline,121
1.0,1.0526857295189984e-05,9000,10000,0.6853374744454649,0.9217562045362151,0.13774911808560936,baseline,57
1.0,3.44297441188246e-05,9500,9500,0.6747291340829743,0.8506373699582047,0.15131792786485798,baseline,80
1.0,9.075937668967526e-06,7500,8500,0.6897867248498405,0.9497046327141617,0.12807817671018654,baseline,61
1.0,1.0365989510319196e-05,8500,9500,0.686455345277291,0.9297229436375539,0.13524628823144344,baseline,89
1.0,4.2740524804685265e-05,9500,10000,0.6622899444280098,0.8301542992969422,0.14812240880823363,baseline,90
1.0,4.230485501466319e-05,9500,9500,0.666796433407965,0.8681700297796022,0.14719219369385753,baseline,88
1.0,1.3522937479137909e-05,9000,10000,0.6693004665813381,0.9371861822986748,0.1340035390224388,baseline,115
1.0,6.444099199143238e-06,6500,6500,0.708693786409588,0.9649675690344127,0.12111605356948033,baseline,2
